Time:	Temperature(C):	Altitude(m):
2016 01 19::04:20:59:444	4249.371161257327	-94.56758525569619	
2016 01 19::04:20:59:945	4284.664942339062	-94.340453769762	
2016 01 19::04:21:00:445	4670.427822320671	-93.14479083295035	
2016 01 19::04:21:00:946	4779.431068270305	-92.94972793780403	
2016 01 19::04:21:01:446	4904.894962579275	-92.63400344148097	
2016 01 19::04:21:01:946	5115.540033980313	-92.16265894100444	
2016 01 19::04:21:02:446	5248.853456701984	-91.56025705300786	
2016 01 19::04:21:02:946	5422.844035124073	-91.55597486023765	
2016 01 19::04:21:03:446	5498.310303264684	-91.53104882319445	
2016 01 19::04:21:03:947	5545.283792794782	-91.46093216741193	
2016 01 19::04:21:04:447	5631.289475537907	-91.07453076057303	
2016 01 19::04:21:04:947	5649.369680190974	-90.99693101449033	
2016 01 19::04:21:05:448	5697.896438110072	-89.57437537865226	
2016 01 19::04:21:05:948	5893.055517540532	-89.13645511462714	
2016 01 19::04:21:06:449	5894.726741468395	-88.46947227223887	
2016 01 19::04:21:06:949	5910.504407473234	-88.24084201248738	
2016 01 19::04:21:07:449	6001.4215557821735	-87.32111858388501	
2016 01 19::04:21:07:950	6200.237660704187	-86.93665540380684	
2016 01 19::04:21:08:450	6379.482421546025	-86.85883052297316	
2016 01 19::04:21:08:951	6386.555816987721	-86.2416746485333	
2016 01 19::04:21:09:451	6517.178698311053	-84.61873103052763	
2016 01 19::04:21:09:951	6616.63301983973	-84.16339094551279	
2016 01 19::04:21:10:452	6631.965046008069	-83.50119748575497	
2016 01 19::04:21:10:953	6639.278274391971	-83.26518929028495	
2016 01 19::04:21:11:453	6668.439136907842	-82.52448514354376	
2016 01 19::04:21:11:954	6761.266951717107	-82.50752769237577	
2016 01 19::04:21:12:455	6766.464114155111	-82.3338428526473	
2016 01 19::04:21:12:956	7049.874247349635	-81.98536770872268	
2016 01 19::04:21:13:456	7230.526952632195	-81.48159545012159	
2016 01 19::04:21:13:956	7264.868178732927	-81.20263250413001	
2016 01 19::04:21:14:456	7267.791869481834	-81.17705353484044	
2016 01 19::04:21:14:957	7490.046116039623	-80.55510499444625	
2016 01 19::04:21:15:458	7576.722252361334	-80.47522254948257	
2016 01 19::04:21:15:958	7725.958339210904	-80.4549178702154	
2016 01 19::04:21:16:459	7733.5799996623355	-80.40777662528357	
2016 01 19::04:21:16:959	7872.683978573147	-80.38446682508203	
2016 01 19::04:21:17:460	7890.991932210737	-79.14916705207446	
2016 01 19::04:21:17:960	8006.195560700592	-79.13078355346303	
2016 01 19::04:21:18:460	8006.555866945946	-78.77395672866042	
2016 01 19::04:21:18:960	8038.10038081425	-78.57859807543252	
2016 01 19::04:21:19:460	8044.7992241200745	-78.27279660705129	
2016 01 19::04:21:19:961	8134.551721195029	-77.72902250668149	
2016 01 19::04:21:20:461	8226.286627308082	-77.12598853318606	
2016 01 19::04:21:20:962	8250.826997385937	-76.96911153362934	
2016 01 19::04:21:21:463	8329.935722785982	-76.42282759543171	
2016 01 19::04:21:21:963	8530.744131439607	-76.39548513359496	
2016 01 19::04:21:22:464	8559.587606013312	-75.8546051696169	
2016 01 19::04:21:22:964	8631.488998656647	-75.64886651097632	
2016 01 19::04:21:23:465	8961.372724527786	-75.31752277474592	
2016 01 19::04:21:23:966	9006.432106832028	-75.20995212180839	
2016 01 19::04:21:24:466	9033.034036758321	-73.55602043440746	
2016 01 19::04:21:24:967	9038.083016634611	-73.30863330891583	
2016 01 19::04:21:25:467	9184.293827650254	-72.77536513877759	
2016 01 19::04:21:25:967	9224.276131192679	-71.92979133374106	
2016 01 19::04:21:26:468	9373.652061709818	-68.19000624793377	
2016 01 19::04:21:26:968	9443.702765877377	-67.32929085252304	
2016 01 19::04:21:27:468	9507.011006934788	-66.71271003512123	
2016 01 19::04:21:27:968	9654.89806489243	-65.99394413074931	
2016 01 19::04:21:28:469	9674.391549163935	-65.73624926502637	
2016 01 19::04:21:28:969	9739.847631039924	-65.6241378874401	
2016 01 19::04:21:29:469	9755.528659409574	-65.3108791400639	
2016 01 19::04:21:29:970	9878.600117976888	-64.4139659231612	
2016 01 19::04:21:30:470	9881.819208491279	-64.01562536218755	
2016 01 19::04:21:30:970	9952.530599930915	-63.30923685689151	
2016 01 19::04:21:31:470	10090.282249968519	-63.290557859890775	
2016 01 19::04:21:31:971	10110.059992903007	-62.74669200989061	
2016 01 19::04:21:32:471	10139.087853026309	-62.23412441950522	
2016 01 19::04:21:32:972	10226.721154371879	-62.220948262179306	
2016 01 19::04:21:33:472	10267.111148872164	-62.03345250272856	
2016 01 19::04:21:33:973	10473.043073926234	-61.659820254396074	
2016 01 19::04:21:34:473	10493.860700536105	-60.878587836373875	
2016 01 19::04:21:34:974	10519.603845125928	-60.66399602445299	
2016 01 19::04:21:35:475	10523.312330048906	-60.419071466782945	
2016 01 19::04:21:35:975	10578.639217551461	-60.24197185274588	
2016 01 19::04:21:36:476	10686.70018229062	-60.174242332848564	
2016 01 19::04:21:36:977	10863.786850030916	-60.14799056413271	
2016 01 19::04:21:37:477	10963.215756822423	-59.08064818837648	
2016 01 19::04:21:37:978	11123.735594547261	-58.940325981544476	
2016 01 19::04:21:38:478	11399.048488201284	-58.42615598495608	
2016 01 19::04:21:38:978	11423.50788278628	-57.7572159868908	
2016 01 19::04:21:39:479	11579.398573110735	-57.38520086416339	
2016 01 19::04:21:39:980	11615.59106700151	-56.905312169039746	
2016 01 19::04:21:40:480	11851.291377267098	-56.64200394604932	
2016 01 19::04:21:40:980	11878.002834083565	-56.52776714885309	
2016 01 19::04:21:41:480	11904.77316758502	-56.14734639059682	
2016 01 19::04:21:41:981	11911.277387033444	-54.815691442128426	
2016 01 19::04:21:42:481	11924.985425334082	-53.97458421382365	
2016 01 19::04:21:42:982	12134.54232747592	-52.449526615322725	
2016 01 19::04:21:43:482	12138.274277351873	-51.86002935395167	
2016 01 19::04:21:43:982	12235.921871511817	-51.19850256315377	
2016 01 19::04:21:44:483	12291.340204725597	-50.43726648072922	
2016 01 19::04:21:44:983	12314.434323828033	-50.26446675201662	
2016 01 19::04:21:45:484	12413.8923755946	-49.021345133065616	
2016 01 19::04:21:45:985	12522.647140606692	-48.475261263203315	
2016 01 19::04:21:46:486	12764.408012503867	-48.328351893723664	
2016 01 19::04:21:46:986	13030.723954779392	-47.871059827103444	
2016 01 19::04:21:47:486	13127.964696182698	-47.74505868547814	
2016 01 19::04:21:47:986	13202.987230297816	-47.600424557513854	
2016 01 19::04:21:48:487	13230.711912491177	-46.73811481006416	
2016 01 19::04:21:48:988	13345.400189337617	-46.42596415282311	
2016 01 19::04:21:49:489	13735.27302905303	-45.712889933057134	
2016 01 19::04:21:49:989	13785.154894155938	-44.35209097440396	
2016 01 19::04:21:50:490	13870.14690744707	-44.19497180561351	
2016 01 19::04:21:50:990	13916.689608009037	-43.28963022986814	
2016 01 19::04:21:51:490	14025.758516710603	-42.18282531451784	
2016 01 19::04:21:51:991	14065.824996834794	-42.127224955307774	
2016 01 19::04:21:52:491	14112.234704232947	-40.77362560451407	
2016 01 19::04:21:52:992	14195.981850247257	-40.58423127694485	
2016 01 19::04:21:53:493	14270.933059113213	-40.242699448851965	
2016 01 19::04:21:53:993	14312.496780664242	-39.861086979772466	
2016 01 19::04:21:54:494	14609.552279792024	-39.6496108415117	
2016 01 19::04:21:54:994	14621.75411222283	-39.467039027005875	
2016 01 19::04:21:55:494	14864.649091725942	-38.970042322875805	
2016 01 19::04:21:55:994	15063.331732572722	-38.75796017172949	
2016 01 19::04:21:56:494	15097.812476878795	-38.37067518844751	
2016 01 19::04:21:56:994	15396.447973148988	-38.143377392520726	
2016 01 19::04:21:57:495	15552.93638912195	-36.366835216797966	
2016 01 19::04:21:57:995	15621.439723757445	-35.84423261378671	
2016 01 19::04:21:58:496	15810.678771693762	-35.717898942374845	
2016 01 19::04:21:58:996	15842.419598880291	-35.37604210494449	
2016 01 19::04:21:59:497	15870.071305416817	-34.93294307186585	
2016 01 19::04:21:59:997	15970.426793189024	-33.7194153383998	
2016 01 19::04:22:00:497	16002.666935777548	-32.617778236214505	
2016 01 19::04:22:00:997	16122.50831752205	-32.12221299756944	
2016 01 19::04:22:01:498	16395.318815530576	-31.66901029740826	
2016 01 19::04:22:01:998	16433.24075279493	-31.563776815059015	
2016 01 19::04:22:02:499	16600.29857849949	-31.311250872666097	
2016 01 19::04:22:02:999	16745.47460190083	-30.86629792464942	
2016 01 19::04:22:03:500	16874.84331289228	-30.84929246626163	
2016 01 19::04:22:04:000	17209.5263532289	-29.894399904008438	
2016 01 19::04:22:04:500	17394.112381123752	-29.83193618325967	
2016 01 19::04:22:05:001	17686.35204949483	-29.802298262909243	
2016 01 19::04:22:05:502	17769.837667418717	-29.680313293250393	
2016 01 19::04:22:06:003	17794.907617984216	-29.5585966082818	
2016 01 19::04:22:06:503	17852.692187368804	-28.484575801078584	
2016 01 19::04:22:07:004	17958.006640845855	-28.31965666516625	
2016 01 19::04:22:07:504	18039.64759161912	-27.609306115058477	
2016 01 19::04:22:08:004	18186.450487834536	-27.497851451777468	
2016 01 19::04:22:08:505	18299.288178605842	-26.243327111344655	
2016 01 19::04:22:09:005	18330.08272882837	-25.511882823082598	
2016 01 19::04:22:09:505	18564.317417242324	-25.058812928472708	
2016 01 19::04:22:10:005	18570.07852539763	-24.251878200143125	
2016 01 19::04:22:10:505	18584.942174916214	-23.75947441651836	
2016 01 19::04:22:11:005	18623.80774781433	-23.507365166816573	
2016 01 19::04:22:11:506	18677.55791154237	-23.49046663169802	
2016 01 19::04:22:12:006	18724.651372219283	-23.373162276429422	
2016 01 19::04:22:12:507	18896.097513748762	-23.27830213767783	
2016 01 19::04:22:13:007	18978.093352438813	-22.339927588546935	
2016 01 19::04:22:13:507	19019.240421824838	-22.15588160894152	
2016 01 19::04:22:14:007	19022.132008606954	-21.756561010071728	
2016 01 19::04:22:14:508	19134.61804172257	-21.62428911901701	
2016 01 19::04:22:15:008	19253.972665700203	-21.534167441165934	
2016 01 19::04:22:15:508	19258.071883665994	-20.90647145637807	
2016 01 19::04:22:16:009	19413.09307948423	-20.584259297951622	
2016 01 19::04:22:16:510	19500.511305633267	-20.569590797138748	
2016 01 19::04:22:17:012	19697.34429256187	-20.008788364909435	
2016 01 19::04:22:17:513	19766.090804226056	-19.937334276756687	
2016 01 19::04:22:18:013	19790.694318705628	-19.63906910343725	
2016 01 19::04:22:18:513	19847.247003157725	-19.550242713311196	
2016 01 19::04:22:19:013	20004.984493467568	-18.876362491500714	
2016 01 19::04:22:19:513	20140.296853331296	-18.5878844318559	
2016 01 19::04:22:20:013	20329.186011146558	-18.268682841707722	
2016 01 19::04:22:20:514	21149.904286937483	-17.588018241436423	
2016 01 19::04:22:21:015	21335.47053189558	-17.405829996219044	
2016 01 19::04:22:21:515	21452.499431441433	-16.739587965854682	
2016 01 19::04:22:22:015	21506.790020453325	-16.716581167789045	
2016 01 19::04:22:22:516	21869.755252843584	-16.59536356641887	
2016 01 19::04:22:23:016	21893.36227805465	-16.390040484323862	
2016 01 19::04:22:23:516	21966.07764903282	-14.886852027999398	
2016 01 19::04:22:24:016	22011.22823210345	-14.559217364817096	
2016 01 19::04:22:24:516	22129.927585478214	-14.427785667466804	
2016 01 19::04:22:25:016	22135.928052783063	-13.512757558626651	
2016 01 19::04:22:25:516	22255.813340724162	-13.152281083159831	
2016 01 19::04:22:26:017	22290.240939538886	-13.040457437062873	
2016 01 19::04:22:26:517	22422.580363226294	-12.622446965200432	
2016 01 19::04:22:27:018	22541.91485219705	-12.213469780366319	
2016 01 19::04:22:27:519	22609.024819242124	-12.182945013188277	
2016 01 19::04:22:28:019	22651.897447844905	-12.039205430455047	
2016 01 19::04:22:28:520	22730.205235508787	-12.037563615032571	
2016 01 19::04:22:29:020	22734.239604580052	-11.512612697810642	
2016 01 19::04:22:29:520	23005.333551565207	-11.429188441296404	
2016 01 19::04:22:30:020	23010.44902707823	-10.795330269677432	
2016 01 19::04:22:30:520	23020.794456125994	-10.76060048123952	
2016 01 19::04:22:31:021	23025.250439819247	-10.080573109695477	
2016 01 19::04:22:31:522	23042.781121661203	-9.685614045820664	
2016 01 19::04:22:32:023	23179.271460541946	-8.672863213955555	
2016 01 19::04:22:32:523	23184.884918826356	-8.659540767775422	
2016 01 19::04:22:33:024	23246.105011101885	-8.503057344671326	
2016 01 19::04:22:33:524	23356.66085588545	-7.679873174347614	
2016 01 19::04:22:34:025	23433.13581707057	-6.388451963742644	
2016 01 19::04:22:34:526	23471.251997258023	-6.36476993892672	
2016 01 19::04:22:35:026	23474.97341166154	-5.94177938588071	
2016 01 19::04:22:35:527	23637.525380888776	-5.808901439887566	
2016 01 19::04:22:36:027	23689.318795433846	-5.775577090660834	
2016 01 19::04:22:36:528	23834.641123338457	-5.705713308543513	
2016 01 19::04:22:37:029	23934.568237035477	-5.2525276060396955	
2016 01 19::04:22:37:530	24290.732951668528	-4.657315439029766	
2016 01 19::04:22:38:030	24426.171511249602	-4.62508394186543	
2016 01 19::04:22:38:530	24443.250648297842	-3.808315383057111	
2016 01 19::04:22:39:031	24527.62339994507	-2.9023656486136944	
2016 01 19::04:22:39:531	24729.462224692434	-2.4880814717903728	
2016 01 19::04:22:40:031	24779.63650697646	-2.4161870327919424	
2016 01 19::04:22:40:532	24926.009893635615	-2.408571729825226	
2016 01 19::04:22:41:033	25022.11412309751	-1.5192860441731642	
2016 01 19::04:22:41:533	25334.302492715993	-1.2981630950667402	
2016 01 19::04:22:42:033	25351.332222592315	-1.215776627378155	
2016 01 19::04:22:42:534	25436.130329731557	-0.8238726341260901	
2016 01 19::04:22:43:035	25451.51785054297	-0.6098274973784187	
2016 01 19::04:22:43:535	25456.988018928318	-0.26594868731803506	
2016 01 19::04:22:44:036	25457.9277718249	0.5268780224647438	
2016 01 19::04:22:44:536	25590.128480557076	1.1343502388619795	
2016 01 19::04:22:45:037	25693.56785925365	2.0942012860014434	
2016 01 19::04:22:45:538	25762.855494318726	2.6659053829911348	
2016 01 19::04:22:46:038	25805.66321703595	3.162602880209869	
2016 01 19::04:22:46:538	26068.05862249689	4.9204171116804565	
2016 01 19::04:22:47:038	26117.903989874067	5.0812410630954785	
2016 01 19::04:22:47:539	26310.102667765026	5.4793662478108685	
2016 01 19::04:22:48:039	26314.170678879305	5.970448001251239	
2016 01 19::04:22:48:540	26463.830140084767	7.022256221418513	
2016 01 19::04:22:49:040	26484.914968995723	7.422017461144489	
2016 01 19::04:22:49:541	26505.357747832433	7.876585792656803	
2016 01 19::04:22:50:041	26725.622388592226	8.56199604315201	
2016 01 19::04:22:50:541	26762.901053708254	8.826482405417739	
2016 01 19::04:22:51:041	26768.264245384325	8.875005903359732	
2016 01 19::04:22:51:541	26981.55292401832	9.05711612370014	
2016 01 19::04:22:52:041	27058.330022852377	9.343144887957772	
2016 01 19::04:22:52:541	27101.387079938097	9.705951717714326	
2016 01 19::04:22:53:042	27105.90599594232	9.92109272436363	
2016 01 19::04:22:53:543	27148.71601903345	11.440224592099845	
2016 01 19::04:22:54:043	27317.712207520508	11.616353924815714	
2016 01 19::04:22:54:543	27334.497630277263	11.620036984567559	
2016 01 19::04:22:55:043	27456.441187289634	11.645771352649772	
2016 01 19::04:22:55:544	27480.218733300764	12.105765111968346	
2016 01 19::04:22:56:044	27550.22155107858	12.196169813133588	
2016 01 19::04:22:56:545	27732.660847105064	12.293209710044225	
2016 01 19::04:22:57:045	27758.754508495556	12.951169959491287	
2016 01 19::04:22:57:546	27763.312806800142	13.118589197831987	
2016 01 19::04:22:58:046	27988.230611325856	14.03757649648067	
2016 01 19::04:22:58:547	28265.39653195898	15.178168138589648	
2016 01 19::04:22:59:048	28313.57503340727	15.460471185495486	
2016 01 19::04:22:59:548	28348.853613806747	15.708538805732633	
2016 01 19::04:23:00:048	28546.998070853824	15.761183571505628	
2016 01 19::04:23:00:548	28731.8506986391	16.396795643737477	
2016 01 19::04:23:01:048	28931.42806008235	17.210246382294216	
2016 01 19::04:23:01:548	29169.20372397133	18.194353626510473	
2016 01 19::04:23:02:048	29215.26514108727	18.428335308411764	
2016 01 19::04:23:02:548	29269.350407423335	18.838111492268325	
2016 01 19::04:23:03:049	29376.48394048293	18.876608237728142	
2016 01 19::04:23:03:549	29440.458743738902	20.00832462900358	
2016 01 19::04:23:04:049	29469.86457187659	20.12326517711132	
2016 01 19::04:23:04:550	29471.839261180216	20.224853888193287	
2016 01 19::04:23:05:050	29569.753535450895	20.60294301141192	
2016 01 19::04:23:05:550	29807.4430536743	20.7073311212459	
2016 01 19::04:23:06:051	29942.095563988067	21.27464872925396	
2016 01 19::04:23:06:551	29961.573134321126	22.217858347511754	
2016 01 19::04:23:07:051	30054.12650555138	22.399732959436438	
2016 01 19::04:23:07:551	30366.42274721143	22.823341644605954	
2016 01 19::04:23:08:052	30367.0001815152	24.16771199918312	
