Time:	Temperature(C):	Altitude(m):
2016 01 19::04:28:31:279	-7.0892446666551	5.045711164236311	
2016 01 19::04:28:31:779	-6.177601937555448	5.114511719142844	
2016 01 19::04:28:32:279	-5.0744914504038965	5.293707667711837	
2016 01 19::04:28:32:779	-3.7709006444369795	5.33861410275709	
2016 01 19::04:28:33:279	-1.7024114439611002	5.406812180800477	
2016 01 19::04:28:33:780	0.19490990891839843	5.412644172845265	
2016 01 19::04:28:34:281	1.2702318045068117	5.414903220790188	
2016 01 19::04:28:34:781	1.399684344732572	5.50876051545048	
2016 01 19::04:28:35:281	2.308201058386036	5.644488886929372	
2016 01 19::04:28:35:781	3.6425652661158376	5.7341808687222136	
2016 01 19::04:28:36:282	5.5369404027884634	5.758478501460702	
2016 01 19::04:28:36:782	6.9563268274250145	5.789189296616915	
2016 01 19::04:28:37:282	8.730314818589557	5.7979994207928085	
2016 01 19::04:28:37:782	11.381676748347706	5.8066078300475095	
2016 01 19::04:28:38:282	12.033517089818854	5.938373391637329	
2016 01 19::04:28:38:782	12.879985924490907	5.983052065007742	
2016 01 19::04:28:39:282	13.048320946981924	6.014312353698343	
2016 01 19::04:28:39:783	14.90202923772017	6.032427061844936	
2016 01 19::04:28:40:284	16.75517948254446	6.04737099786874	
2016 01 19::04:28:40:785	16.970089440787138	6.059162955228647	
